fecha,punto,pixel,latitud,longitud,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,sol_sus
2023-05-11,1,3x3,-27.4646869,-58.8680469,0.1612895833333333,0.1712555555555555,0.2066444444444444,0.2509111111111111,0.2580583333333333,0.2021701388888888,0.2074902777777778,0.1937222222222222,0.1188923611111111,0.1154618055555555,0.1731375,197.99999999996487
2023-05-11,2,3x3,-27.4663034,-58.8667293,0.1499055555555555,0.1703777777777778,0.2022777777777777,0.2426888888888888,0.2471152777777777,0.1867388888888889,0.1880270833333333,0.1755444444444444,0.1139923611111111,0.1112104166666666,0.1593729166666666,150.00000000000568
2023-05-11,3,3x3,-27.4680565,-58.8648886,0.1497180555555555,0.1672555555555555,0.1973222222222222,0.2235111111111111,0.2186083333333333,0.1592916666666666,0.1632284722222222,0.1515444444444444,0.1142409722222222,0.11293125,0.1397826388888889,101.0000000000133
2023-05-11,4,3x3,-27.4692399,-58.8633671,0.1484409722222222,0.1632888888888889,0.1887333333333333,0.1961666666666666,0.1838541666666666,0.1393881944444444,0.1400166666666666,0.1354,0.1156020833333333,0.1130965277777778,0.1282222222222222,95.00000000002728
2023-05-11,5,3x3,-27.4705607,-58.8624538,0.1458375,0.1577333333333333,0.1787666666666666,0.1739111111111111,0.1626,0.1321402777777778,0.1332291666666666,0.1266555555555555,0.1170694444444444,0.1139923611111111,0.1245479166666666,69.00000000001683
2023-05-11,6,3x3,-27.4726781,-58.8606621,0.1426944444444444,0.1510111111111111,0.1644111111111111,0.1483,0.1395819444444444,0.1243777777777777,0.1261590277777778,0.1220222222222222,0.1159736111111111,0.1151930555555555,0.1227138888888888,65.00000000002615
2023-05-11,7,3x3,-27.4733471,-58.8591202,0.1420694444444444,0.1512777777777778,0.1640222222222222,0.1466777777777778,0.1388201388888889,0.1235298611111111,0.1259923611111111,0.1234555555555555,0.1176381944444444,0.1165979166666666,0.1217638888888889,63.99999999999295
2023-05-11,8,3x3,-27.4740568,-58.857019,0.1541236111111111,0.1563444444444444,0.1686333333333333,0.1535,0.1462013888888889,0.1311673611111111,0.1348944444444444,0.134,0.1302840277777777,0.1283055555555555,0.1296576388888889,56.0000000000116
2023-05-11,12,3x3,-27.4705607,-58.8624538,0.1458375,0.1577333333333333,0.1787666666666666,0.1739111111111111,0.1626,0.1321402777777778,0.1332291666666666,0.1266555555555555,0.1170694444444444,0.1139923611111111,0.1245479166666666,69.00000000001683
2023-05-11,13,3x3,-27.4726781,-58.8606621,0.1426944444444444,0.1510111111111111,0.1644111111111111,0.1483,0.1395819444444444,0.1243777777777777,0.1261590277777778,0.1220222222222222,0.1159736111111111,0.1151930555555555,0.1227138888888888,65.00000000002615
2023-05-11,14,3x3,-27.4733471,-58.8591202,0.1420694444444444,0.1512777777777778,0.1640222222222222,0.1466777777777778,0.1388201388888889,0.1235298611111111,0.1259923611111111,0.1234555555555555,0.1176381944444444,0.1165979166666666,0.1217638888888889,63.99999999999295
2023-05-11,15,3x3,-27.4740568,-58.857019,0.1541236111111111,0.1563444444444444,0.1686333333333333,0.1535,0.1462013888888889,0.1311673611111111,0.1348944444444444,0.134,0.1302840277777777,0.1283055555555555,0.1296576388888889,56.0000000000116
2023-12-12,1,3x3,-27.4647485,-58.8682645,0.2197131944444444,0.2150444444444444,0.2342444444444444,0.2521555555555556,0.2504291666666666,0.2074277777777778,0.2096930555555555,0.1935222222222222,0.19144375,0.1881076388888889,0.1963673611111111,86.00000000001273
2023-12-12,2,3x3,-27.4658444,-58.8678045,0.1909875,0.2028,0.2300444444444444,0.2455777777777777,0.2435569444444444,0.1946986111111111,0.1972951388888889,0.1833444444444444,0.1723777777777778,0.1666708333333333,0.18200625,82.9999999999842
2023-12-12,3,3x3,-27.4664385,-58.8652232,0.1862708333333333,0.2037333333333333,0.2276777777777777,0.2435555555555555,0.2354270833333333,0.18744375,0.1847597222222222,0.1761555555555555,0.1663451388888888,0.16143125,0.1745548611111111,71.9999999999743
2023-12-12,4,3x3,-27.4679387,-58.8634207,0.1827611111111111,0.2141777777777777,0.2476666666666666,0.2557555555555555,0.2456326388888889,0.19409375,0.19316875,0.1833555555555556,0.1731131944444444,0.1686729166666666,0.1817930555555555,66.99999999995043
2023-12-12,5,3x3,-27.4690254,-58.8622547,0.1916069444444444,0.2238666666666666,0.2622,0.2672666666666666,0.2559361111111111,0.2076645833333333,0.20779375,0.1890666666666666,0.1919145833333333,0.1839659722222222,0.1957944444444444,63.99999999999295
2023-12-12,6,3x3,-27.4707805,-58.8604727,0.2034416666666667,0.2240444444444444,0.2660666666666667,0.2691555555555556,0.2475659722222222,0.1968909722222222,0.1955493055555555,0.1864111111111111,0.1780027777777778,0.1731409722222222,0.1859819444444444,63.99999999999295
2023-12-12,7,3x3,-27.4724654,-58.8589498,0.1955715277777777,0.2230666666666666,0.2675111111111111,0.2693111111111111,0.2529979166666666,0.2023645833333333,0.2030423611111111,0.1873,0.1912888888888889,0.1835263888888889,0.1941958333333333,63.000000000030816
2023-12-12,8,3x3,-27.4734066,-58.8567404,0.1638729166666666,0.1553,0.1895,0.1904,0.1801618055555555,0.1414381944444444,0.1432875,0.1318444444444444,0.14479375,0.1413020833333333,0.1378673611111111,63.000000000030816
2024-05-20,1,3x3,-27.4644962,-58.8680573,0.1448090277777778,0.1473888888888889,0.1857222222222222,0.2325777777777777,0.2407305555555555,0.1894597222222222,0.1907923611111111,0.1766111111111111,0.1253222222222222,0.1247736111111111,0.1612972222222222,110.00000000002784
