fecha,punto,latitud,longitud,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,sol_sus
2023-05-11,1,-27.4646869,-58.8680469,0.0413674397601021,0.0466689467430114,0.0856300907002555,0.1287987480560938,0.1287043558226691,0.0917479553156428,0.0983652356598112,0.0832529465357462,0.0025211839367532,0.0,0.066611708038383,197.99999999996487
2023-05-11,2,-27.4663034,-58.8667293,0.0322345627678765,0.0479158581131034,0.0841907196574741,0.1238981179065174,0.1224814967976676,0.0799217224121093,0.0824032086465093,0.0690209302637312,0.0016688835231535,0.0,0.0559235558741622,150.00000000000568
2023-05-11,3,-27.4680565,-58.8648886,0.0309558922631873,0.0440844330522749,0.0784437350100941,0.104498330089781,0.0957370574275652,0.0521623107294241,0.0574747638569937,0.0443543812466992,0.00020937578746169392,0.00017367939856032736,0.0347674907081657,101.0000000000133
2023-05-11,4,-27.4692399,-58.8633671,0.0296457925190528,0.040406656348043,0.0703844701250394,0.0783568869034449,0.0639368469516436,0.032452255487442,0.0339938199354542,0.0284412227984931,0.0012785023233542,0.0,0.0225966947360171,95.00000000002728
2023-05-11,5,-27.4705607,-58.8624538,0.0267366280572281,0.0349684535629219,0.060701264689366,0.0566018236180146,0.0440667490992281,0.0248087470730145,0.0266835575716363,0.0192093520114819,0.0018793772647364,0.0,0.0179296286983622,69.00000000001683
2023-05-11,6,-27.4726781,-58.8606621,0.0240980413638883,0.0286290995362732,0.04700167518523,0.0315643964956204,0.0228018659270472,0.0166244082566764,0.0191268887784745,0.0140123715003331,1.9072624531367583e-05,0.00030749611808763194,0.0156383201893832,65.00000000002615
2023-05-11,7,-27.4733471,-58.8591202,0.0223059463832113,0.0279343117856317,0.0454715858731004,0.0287274724493424,0.0208346814745002,0.0144624373772078,0.0174789316952228,0.013987723737955,8.812264746261967e-05,0.0003605653182603419,0.0132316535131798,63.99999999999295
2023-05-11,8,-27.4740568,-58.857019,0.0310303136292431,0.0254670602993832,0.0416118610236379,0.0258374710877736,0.0185223130716217,0.0124289838390217,0.0165367539351185,0.01392814817114,0.0020974107448839,0.0008767418977287081,0.0109228997413689,56.0000000000116
2023-05-11,12,-27.4705607,-58.8624538,0.0267366280572281,0.0349684535629219,0.060701264689366,0.0566018236180146,0.0440667490992281,0.0248087470730145,0.0266835575716363,0.0192093520114819,0.0018793772647364,0.0,0.0179296286983622,69.00000000001683
2023-05-11,13,-27.4726781,-58.8606621,0.0240980413638883,0.0286290995362732,0.04700167518523,0.0315643964956204,0.0228018659270472,0.0166244082566764,0.0191268887784745,0.0140123715003331,1.9072624531367583e-05,0.00030749611808763194,0.0156383201893832,65.00000000002615
2023-05-11,14,-27.4733471,-58.8591202,0.0223059463832113,0.0279343117856317,0.0454715858731004,0.0287274724493424,0.0208346814745002,0.0144624373772078,0.0174789316952228,0.013987723737955,8.812264746261967e-05,0.0003605653182603419,0.0132316535131798,63.99999999999295
2023-05-11,15,-27.4740568,-58.857019,0.0310303136292431,0.0254670602993832,0.0416118610236379,0.0258374710877736,0.0185223130716217,0.0124289838390217,0.0165367539351185,0.01392814817114,0.0020974107448839,0.0008767418977287081,0.0109228997413689,56.0000000000116
2023-12-12,1,-27.4647485,-58.8682645,0.0852699312898847,0.0916522468129793,0.1164501657088597,0.1331370721260706,0.1186996094054645,0.1000876335634125,0.1092730793688032,0.0894845790333218,0.082374428709348,0.0751509757505522,0.0978412222531106,86.00000000001273
2023-12-12,2,-27.4658444,-58.8678045,0.0676728139321009,0.0829939420024554,0.1132447818915049,0.1275401992930306,0.1130133395393689,0.0876345642738872,0.0958223516742388,0.0799614778823322,0.0630679618981149,0.0549463749759727,0.0833463337686326,82.9999999999842
2023-12-12,3,-27.4664385,-58.8652232,0.0611619237396452,0.0784554400791724,0.1051279910736613,0.1187635064125061,0.0989028600354989,0.07204981168939,0.0752435206539101,0.0641418522767101,0.0481712561902693,0.0417468456758393,0.0664932922356658,71.9999999999743
2023-12-12,4,-27.4679387,-58.8634207,0.0639967537588543,0.0932106011443668,0.1289819421039687,0.1377807673480775,0.116122205224302,0.0863975236813227,0.0912867859005928,0.0785254256592856,0.0646945817603005,0.0574305206537246,0.0819234326481819,66.99999999995043
2023-12-12,5,-27.4690254,-58.8622547,0.0673923856682247,0.1008423252238167,0.1411110642883512,0.1478856305281321,0.1231870841648843,0.0971240293648507,0.1035801453722847,0.0834725954466396,0.0814857085545857,0.0697494720419247,0.093840115600162,63.99999999999295
2023-12-12,6,-27.4707805,-58.8604727,0.0766993876960542,0.1011027859316931,0.1444376011689504,0.1496358894639545,0.1181170559591717,0.089838043683105,0.093929487797949,0.081917712257968,0.0689660761919286,0.0612602453264925,0.0869654632276958,63.99999999999295
2023-12-12,7,-27.4724654,-58.8589498,0.0713285944528049,0.1007312155432171,0.1458493835396236,0.1499304158820046,0.1221655102239714,0.0936500951647758,0.1005478526155154,0.0836711699763933,0.0801040555040041,0.0678043754564391,0.094054633544551,63.000000000030816
2023-12-12,8,-27.4734066,-58.8567404,0.0329839001513189,0.0270993347383207,0.0557810177819596,0.0526654174189186,0.0336434418956438,0.0108942522977789,0.0153173431754112,0.0042424625948519,0.0028353268021924,0.0,0.0094908212162812,63.000000000030816
