latitud,longitud,valor,B01,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A
-27.4748002,-58.8574817,45.00000000000171,0.15037916666666665,0.15914444444444445,0.17997777777777774,0.16853333333333334,0.1644486111111111,0.14542430555555555,0.14762465277777775,0.1444,0.1458767361111111,0.14201388888888883,0.14545138888888887
-27.4743388,-58.857934,37.99999999998249,0.15713680555555554,0.15633888888888886,0.17654999999999998,0.16680555555555554,0.16498715277777776,0.1474583333333333,0.14889583333333328,0.1434833333333333,0.146334375,0.14192673611111112,0.1436270833333333
-27.4742076,-58.8576185,58.99999999996908,0.11354444444444445,0.13637777777777776,0.17577222222222222,0.1816111111111111,0.15950555555555554,0.11722777777777775,0.11613333333333331,0.1132611111111111,0.1036333333333333,0.1031444444444444,0.10682222222222221
-27.4740568,-58.857019,56.0000000000116,0.15409930555555554,0.1573722222222222,0.16886666666666666,0.1533,0.14692569444444445,0.13167430555555554,0.13528159722222222,0.13375,0.13057013888888885,0.12824652777777776,0.12979131944444444
-27.4738798,-58.8594739,43.00000000000637,0.154625,0.1566111111111111,0.17878888888888883,0.1694944444444444,0.1658034722222222,0.15055034722222221,0.15012777777777775,0.1451722222222222,0.14305138888888885,0.1430263888888889,0.14544791666666665
-27.473679,-58.8599399,42.00000000004422,0.1603125,0.1675611111111111,0.1879,0.17561666666666664,0.17182777777777775,0.15388368055555557,0.15451041666666665,0.15132777777777776,0.14731215277777776,0.14610416666666665,0.15121701388888886
-27.473469,-58.8593196,61.99999999999762,0.12038333333333329,0.13574999999999998,0.1767388888888889,0.18426666666666666,0.16571666666666662,0.1176611111111111,0.11673888888888885,0.11418888888888884,0.1012333333333333,0.10085555555555555,0.10646666666666665
-27.4734066,-58.8567404,63.000000000030816,0.1637552083333333,0.16315000000000002,0.19885,0.1978,0.17974965277777777,0.1398503472222222,0.141871875,0.1360222222222222,0.143875,0.13999166666666665,0.13725555555555555
-27.4733471,-58.8591202,63.99999999999295,0.1420534722222222,0.1518888888888889,0.1640111111111111,0.14658888888888888,0.13887569444444445,0.12350555555555555,0.12594618055555556,0.12352777777777775,0.1175690972222222,0.1166083333333333,0.12184131944444446
-27.4732325,-58.8579279,65.99999999998829,0.11503194444444445,0.13075555555555554,0.17118888888888883,0.18465555555555555,0.17089375,0.121903125,0.1228798611111111,0.1180444444444444,0.10226388888888885,0.1034097222222222,0.10919618055555555
-27.4730282,-58.8606735,63.99999999999295,0.11968333333333331,0.13697222222222222,0.17772777777777776,0.19082777777777776,0.17207777777777775,0.1227,0.12041111111111111,0.1168222222222222,0.10036666666666666,0.10129444444444441,0.1101944444444444
-27.4727798,-58.8603701,46.00000000003491,0.1516017361111111,0.15238333333333332,0.17291666666666666,0.1609222222222222,0.15807430555555557,0.14238506944444446,0.14237326388888888,0.13682777777777774,0.1368954861111111,0.13588854166666664,0.13776076388888886
-27.4726781,-58.8606621,65.00000000002615,0.1427159722222222,0.15140555555555554,0.16445555555555555,0.1485,0.1395315972222222,0.12438263888888884,0.1261888888888889,0.1221111111111111,0.11590243055555555,0.11511215277777775,0.12275069444444439
-27.4724654,-58.8589498,63.000000000030816,0.19556388888888884,0.22373333333333328,0.26615555555555553,0.26945555555555556,0.2527552083333333,0.20203541666666663,0.20268680555555554,0.18825,0.19105069444444445,0.18261006944444444,0.19388854166666664
-27.4721863,-58.8598219,66.99999999995043,0.11682083333333329,0.1340611111111111,0.1718722222222222,0.19380555555555556,0.18098055555555553,0.12786423611111108,0.12829374999999998,0.1236611111111111,0.1012020833333333,0.1024847222222222,0.11376631944444446
-27.4713317,-58.8631197,47.99999999995918,0.15836666666666666,0.1592833333333333,0.1826444444444444,0.17137777777777774,0.16742777777777776,0.1444329861111111,0.1468923611111111,0.1401111111111111,0.13984930555555553,0.13731944444444444,0.14007743055555555
-27.4708793,-58.8624132,67.99999999998363,0.12188333333333329,0.14054444444444444,0.17925555555555556,0.19915555555555556,0.1854111111111111,0.1303222222222222,0.12821666666666665,0.12415,0.10078333333333331,0.10127222222222221,0.1135611111111111
-27.4707805,-58.8604727,63.99999999999295,0.20360833333333334,0.2275222222222222,0.27353333333333335,0.2734777777777778,0.2492829861111111,0.1986704861111111,0.19637465277777774,0.19280555555555556,0.1785576388888889,0.17402673611111108,0.1872378472222222
-27.4705607,-58.8624538,69.00000000001683,0.14581875,0.15811666666666666,0.1789833333333333,0.17375555555555555,0.1625625,0.13220451388888887,0.1333395833333333,0.12662777777777773,0.1170409722222222,0.11395243055555555,0.1245333333333333
-27.4704693,-58.8615767,71.9999999999743,0.118640625,0.1351611111111111,0.17285555555555554,0.20140555555555556,0.19132465277777774,0.13680555555555557,0.1366208333333333,0.1319222222222222,0.10155694444444445,0.10154201388888885,0.12153749999999999
-27.4698467,-58.8635679,72.00000000004536,0.12385555555555555,0.1407722222222222,0.17995555555555554,0.2054222222222222,0.19570555555555558,0.13578888888888885,0.1367611111111111,0.1294333333333333,0.1003611111111111,0.10091666666666665,0.1169388888888889
-27.4697985,-58.863874,54.00000000001626,0.16295069444444443,0.1653888888888889,0.19623333333333332,0.1880222222222222,0.18068854166666665,0.14663888888888885,0.14634479166666664,0.1411722222222222,0.13704444444444447,0.1350065972222222,0.14238090277777776
-27.4692696,-58.8628216,74.0000000000407,0.1214614583333333,0.1404,0.17764444444444438,0.20936666666666665,0.20506562499999997,0.1475534722222222,0.14740312500000002,0.1409111111111111,0.10069930555555555,0.10181770833333331,0.1252861111111111
-27.4692399,-58.8633671,95.00000000002728,0.14844548611111108,0.16314444444444445,0.18956666666666666,0.1963333333333333,0.1837489583333333,0.1393534722222222,0.1399145833333333,0.13529999999999998,0.11560104166666665,0.1130670138888889,0.1281673611111111
-27.4690254,-58.8622547,63.99999999999295,0.1917440972222222,0.2245333333333333,0.26439999999999997,0.2670333333333333,0.25534305555555553,0.20755416666666665,0.207746875,0.18918333333333331,0.19159166666666666,0.18381423611111108,0.1951722222222222
-27.4688362,-58.8643213,54.00000000001626,0.1669708333333333,0.16787777777777774,0.20945,0.20546666666666663,0.20160138888888884,0.15287604166666663,0.15266875000000002,0.14325,0.1356163194444444,0.13537569444444444,0.14168923611111112
